,blockNum,uniqueId,hash,from,to,value,erc721TokenId,erc1155Metadata,tokenId,asset,category,rawContract,metadata
0,0xfd2007,0xe7d16a1062248747afe006cac23b4166e3bf74923fd631721b96a44dcae7f582:log:161,0xe7d16a1062248747afe006cac23b4166e3bf74923fd631721b96a44dcae7f582,0x7aebec22e26a963abaa85069372df0c1734976d9,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,605.039566743547,,,,MCB,erc20,"{'value': '0x20cc9c5850f55e4564', 'address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T04:27:23.000Z'}
1,0xfd1fc0,0x310d3649089c243e9528f3be80ca428d3c1340aa1fa150f6ec81f64bc104def1:log:100,0x310d3649089c243e9528f3be80ca428d3c1340aa1fa150f6ec81f64bc104def1,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x5b85be3181c4939eb88e64172718bb05f3bfa769,27.58,,,,MCB,erc20,"{'value': '0x017ebfd7dff9460000', 'address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T04:13:11.000Z'}
2,0xfd1f89,0xbe72ca4143baf718c2c61e5affd11060ef2bf16184e51707029b746bc77781f9:log:159,0xbe72ca4143baf718c2c61e5affd11060ef2bf16184e51707029b746bc77781f9,0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,0x7aebec22e26a963abaa85069372df0c1734976d9,134.0783652326226,,,,MCB,erc20,"{'value': '0x0744b60acd2b8e1e75', 'address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T04:01:59.000Z'}
3,0xfd1f89,0xbe72ca4143baf718c2c61e5affd11060ef2bf16184e51707029b746bc77781f9:log:154,0xbe72ca4143baf718c2c61e5affd11060ef2bf16184e51707029b746bc77781f9,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,134.0783652326226,,,,MCB,erc20,"{'value': '0x0744b60acd2b8e1e75', 'address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T04:01:59.000Z'}
4,0xfd1f83,0x443a12fc944b6836bafcba323b9b30eafeecf675cad56a01f3a73c22c7487fd5:log:319,0x443a12fc944b6836bafcba323b9b30eafeecf675cad56a01f3a73c22c7487fd5,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,134.0783652326226,,,,MCB,erc20,"{'value': '0x0744b60acd2b8e1e75', 'address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T04:00:47.000Z'}
5,0xfd1dc7,0xc7bc8ce92ab32bb81f03c51e3d88d686befc008e2f2a8f1cf2a642d9bd992f78:log:154,0xc7bc8ce92ab32bb81f03c51e3d88d686befc008e2f2a8f1cf2a642d9bd992f78,0x8f8097a2af8ecb317f05ff284069afaa87763952,0xe3c29272e81209697acaa3a812acbed73dedc95c,35.907,,,,MCB,erc20,"{'value': '0x01f24f4a41adf38000', 'address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T02:31:23.000Z'}
6,0xfd1dc5,0x49aca23fdcdb2858a08f965dbc69c38adb4455ecf55867d2bc34aa876e8d0a7a:log:23,0x49aca23fdcdb2858a08f965dbc69c38adb4455ecf55867d2bc34aa876e8d0a7a,0x4b4a52e0d0601e1f639441206967fc98ff21ec79,0x8f8097a2af8ecb317f05ff284069afaa87763952,35.88973095046182,,,,MCB,erc20,"{'value': '0x01f211f025c29e8574', 'address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T02:30:59.000Z'}
7,0xfd1dc3,0x591fe625cc4586dd9a5c8569631cd264ccbc37432d29a4f60a0d8f9ab1d436f6:log:235,0x591fe625cc4586dd9a5c8569631cd264ccbc37432d29a4f60a0d8f9ab1d436f6,0x043efb51a5ca4ac361519753404081da3db27037,0x4b4a52e0d0601e1f639441206967fc98ff21ec79,23.368082761955662,,,,MCB,erc20,"{'value': '0x01444c1b766c4be080', 'address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T02:30:35.000Z'}
8,0xfd1c69,0x17a7931e3aec44e0be5a7adb6dd067f1fcf8dc9eaf607c581c2a777833e4c213:log:202,0x17a7931e3aec44e0be5a7adb6dd067f1fcf8dc9eaf607c581c2a777833e4c213,0x0ee55ea8af9756ea8940dfe071c3fff124988a40,0x4b4a52e0d0601e1f639441206967fc98ff21ec79,11.391354520979359,,,,MCB,erc20,"{'value': '0x9e1638953583c42a', 'address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T01:21:11.000Z'}
9,0xfd1c4f,0xa41d5a1e2d58a70775fad2c22043d38a5e31a4fba84508daf3ad4a15b9070e0a:log:702,0xa41d5a1e2d58a70775fad2c22043d38a5e31a4fba84508daf3ad4a15b9070e0a,0x6467462043c9fe61e27e1b850cf3bd38921661f9,0x674bdf20a0f284d710bc40872100128e2d66bd3f,44.07433028843819,,,,MCB,erc20,"{'value': '0x0263a779e1ab992000', 'address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T01:15:59.000Z'}
