,blockNum,uniqueId,hash,from,to,value,erc721TokenId,erc1155Metadata,tokenId,asset,category,rawContract,metadata
0,0xfd209b,0xe6f83c772b90277cb8a59961ca0c54fca66e157e6bd6e5ca33365981b50c73a3:log:36,0xe6f83c772b90277cb8a59961ca0c54fca66e157e6bd6e5ca33365981b50c73a3,0x72ce4255639c68cbae02722702e91d1451dd0ffb,0xcffad3200574698b78f32232aa9d63eabd290703,700.9683457151968,,,,DERC,erc20,"{'value': '0x25ffe3d489db83925b', 'address': '0x9fa69536d1cda4a04cfb50688294de75b505a9ae', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T04:56:59.000Z'}
1,0xfd208e,0xb40bf6e4443cc04e6b88ebac7a03f0c0ba60c75996037a55098e4d8efb231ec1:log:89,0xb40bf6e4443cc04e6b88ebac7a03f0c0ba60c75996037a55098e4d8efb231ec1,0xc88ac988a655b91b70def427c8778b4d43f2048d,0x005b7f5c5758e341c8d32b4eb6e05c8baf0c3e69,762.8053057261104,,,,DERC,erc20,"{'value': '0x295a0cd80acc0e6d32', 'address': '0x9fa69536d1cda4a04cfb50688294de75b505a9ae', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T04:54:23.000Z'}
2,0xfd2065,0xb79bfda41b26c8d275eeb8837e5266da6f098fe529567c6781fcf8aec817c907:log:155,0xb79bfda41b26c8d275eeb8837e5266da6f098fe529567c6781fcf8aec817c907,0x3d37bac2282bda340b902f11b8bc58252b9658a3,0x09fc3d40e0805bcfadf0c19e0f618670eca0a166,345.5625900657177,,,,DERC,erc20,"{'value': '0x12bba4f0cbb307fc0a', 'address': '0x9fa69536d1cda4a04cfb50688294de75b505a9ae', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T04:46:11.000Z'}
3,0xfd2035,0x3d79fa528fe8c64b7d7e99a0eb56e80c69f34ec428afb00d1744885477a53d1f:log:409,0x3d79fa528fe8c64b7d7e99a0eb56e80c69f34ec428afb00d1744885477a53d1f,0x1f0459bf8429b142aad1f50c5a7daea28a2b4e4f,0xc88ac988a655b91b70def427c8778b4d43f2048d,1000.0,,,,DERC,erc20,"{'value': '0x3635c9adc5dea00000', 'address': '0x9fa69536d1cda4a04cfb50688294de75b505a9ae', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T04:36:35.000Z'}
4,0xfd2023,0x8ffeef897969d2874ee620753794f3c89152665fe7c1f78268bc5b73294dd06d:log:147,0x8ffeef897969d2874ee620753794f3c89152665fe7c1f78268bc5b73294dd06d,0x383880c9a3112f1f1dbbee1d37da6157da013b30,0x4d55d127b1e44f70a83dce613536d20ffcbe9662,311.47,,,,DERC,erc20,"{'value': '0x10e283bac2deeb0000', 'address': '0x9fa69536d1cda4a04cfb50688294de75b505a9ae', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T04:32:59.000Z'}
5,0xfd1f1b,0xee29fa9b318e7c27afcd514090d3537a30ff52c190a36b1c6c203330abc3edfc:log:211,0xee29fa9b318e7c27afcd514090d3537a30ff52c190a36b1c6c203330abc3edfc,0x13ff963fc8a3993f4269da5adcb07286a8616c6a,0xc88ac988a655b91b70def427c8778b4d43f2048d,4878.418238106403,,,,DERC,erc20,"{'value': '0x010875a7349717259062', 'address': '0x9fa69536d1cda4a04cfb50688294de75b505a9ae', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T03:39:47.000Z'}
6,0xfd1ee9,0xa054ea7418c2b17b94201921f6d67c05f8e3e8976cda5353dfdd4753bf756837:log:283,0xa054ea7418c2b17b94201921f6d67c05f8e3e8976cda5353dfdd4753bf756837,0xe799c5699cad0080eeb98bfd41383b510cff697e,0xc88ac988a655b91b70def427c8778b4d43f2048d,3449.462880476133,,,,DERC,erc20,"{'value': '0xbafee9f5c163a11f92', 'address': '0x9fa69536d1cda4a04cfb50688294de75b505a9ae', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T03:29:47.000Z'}
7,0xfd1eab,0x9a763746c73837e0e2b7a2663e5874cc9114d236c654580673ede3ae610432e5:log:208,0x9a763746c73837e0e2b7a2663e5874cc9114d236c654580673ede3ae610432e5,0xc609e6b58dd713773d26eee2e458230c7c57c404,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,496.0,,,,DERC,erc20,"{'value': '0x1ae361fc1451c00000', 'address': '0x9fa69536d1cda4a04cfb50688294de75b505a9ae', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T03:17:11.000Z'}
8,0xfd1e9a,0xde75c4ffd327e4d2555605766b9881161dd78fd31acaeb8aee6c89cf410c7dc6:log:16,0xde75c4ffd327e4d2555605766b9881161dd78fd31acaeb8aee6c89cf410c7dc6,0x46340b20830761efd32832a74d7169b29feb9758,0xb91c3b4cc1a9b8e6ddc56c0d2ec242f938aba7ed,889.29,,,,DERC,erc20,"{'value': '0x303560bf56f3210000', 'address': '0x9fa69536d1cda4a04cfb50688294de75b505a9ae', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T03:13:47.000Z'}
9,0xfd1d8e,0xbcb3843274e241d50ad833767385e2615e85de6f69ff736af803f66e646d55a8:log:28,0xbcb3843274e241d50ad833767385e2615e85de6f69ff736af803f66e646d55a8,0x46340b20830761efd32832a74d7169b29feb9758,0xc609e6b58dd713773d26eee2e458230c7c57c404,496.0,,,,DERC,erc20,"{'value': '0x1ae361fc1451c00000', 'address': '0x9fa69536d1cda4a04cfb50688294de75b505a9ae', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-09T02:19:59.000Z'}
