,blockNum,uniqueId,hash,from,to,value,erc721TokenId,erc1155Metadata,tokenId,asset,category,rawContract,metadata
0,0xfd2192,0x8e643f27d579ce7089a225990ff589375480f02f89425864bbdd061900132d6b:log:146,0x8e643f27d579ce7089a225990ff589375480f02f89425864bbdd061900132d6b,0xe3fe800b0de664bf0bca8ad58ecbc73b259047b0,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,10140.892399,,,,POWR,erc20,"{'value': '0x025c71bcef', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T05:46:35.000Z'}
1,0xfd2170,0x0fad032fcc294291a089a444ab4369146486cb86dad078d8f682cb679a8725cd:log:105,0x0fad032fcc294291a089a444ab4369146486cb86dad078d8f682cb679a8725cd,0xe3fe800b0de664bf0bca8ad58ecbc73b259047b0,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,12364.839838,,,,POWR,erc20,"{'value': '0x02e1007b9e', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T05:39:47.000Z'}
2,0xfd2151,0x74335703e1baebc1c7e9e39ab4b441246902f8a2ea5858a5847e82c47c83e867:log:121,0x74335703e1baebc1c7e9e39ab4b441246902f8a2ea5858a5847e82c47c83e867,0xdc3c011830d5bfd4c5b1c6c58913d0eeb345e736,0xba33aa06901b7662e17869f588b77c04fb0cd872,15037.08,,,,POWR,erc20,"{'value': '0x038047a1c0', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T05:33:35.000Z'}
3,0xfd214b,0x778547a6719efc1a015ecc519bfc908f6b7cb04e833acea3b91b14345423545b:log:168,0x778547a6719efc1a015ecc519bfc908f6b7cb04e833acea3b91b14345423545b,0xaecbd8951de28a3102a3e4adf7872cb718d17659,0xa84b216b587d2daaef8917caaf5ddc381040d734,69.283761,,,,POWR,erc20,"{'value': '0x04212fb1', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T05:32:23.000Z'}
4,0xfd2141,0x81b5e77d2c982af0d9d50277f49bab4d862631b23c961db48e8cdfb5979fba86:log:75,0x81b5e77d2c982af0d9d50277f49bab4d862631b23c961db48e8cdfb5979fba86,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xdc3c011830d5bfd4c5b1c6c58913d0eeb345e736,15006.08,,,,POWR,erc20,"{'value': '0x037e6e9c00', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T05:30:23.000Z'}
5,0xfd213c,0x51ac935400c5c3717b8145dc90ea756133ca957eadcce8eae806d11033c090c3:log:87,0x51ac935400c5c3717b8145dc90ea756133ca957eadcce8eae806d11033c090c3,0x28c6c06298d514db089934071355e5743bf21d60,0xfa26170994948d9191cce3eaffa67a00fe547a75,496.484,,,,POWR,erc20,"{'value': '0x1d97bea0', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T05:29:23.000Z'}
6,0xfd2136,0xe37765f42745635cfbc6d9c77251ebcb6f9d833b0f651fcea069f42751cdb039:log:69,0xe37765f42745635cfbc6d9c77251ebcb6f9d833b0f651fcea069f42751cdb039,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xdc3c011830d5bfd4c5b1c6c58913d0eeb345e736,31.0,,,,POWR,erc20,"{'value': '0x01d905c0', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T05:28:11.000Z'}
7,0xfd20ce,0x1e6ec51e4fefd709a713ecf33e546a96d33c355e532337626d3183338cc9a6aa:log:116,0x1e6ec51e4fefd709a713ecf33e546a96d33c355e532337626d3183338cc9a6aa,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf5d46db242b0603cdfab6e8baed59c311c4e4152,816.744918,,,,POWR,erc20,"{'value': '0x30ae89d6', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T05:07:11.000Z'}
8,0xfd20cd,0x00101e100601efe9bc77c3a813f85211264d2b272b67330aefb44ded8b3c887b:log:282,0x00101e100601efe9bc77c3a813f85211264d2b272b67330aefb44ded8b3c887b,0xe3fe800b0de664bf0bca8ad58ecbc73b259047b0,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,10926.075571,,,,POWR,erc20,"{'value': '0x028b3eaeb3', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T05:06:59.000Z'}
9,0xfd20b8,0xb0c8c6617b8cb67ab0e23dc81e257dffc84756060b570c29196d5c9ee38aa623:log:122,0xb0c8c6617b8cb67ab0e23dc81e257dffc84756060b570c29196d5c9ee38aa623,0xd5ea82d1531e40e162091da57dc8ffddcd5e5b78,0xe5b8e80f43cd41ba6238a9b47e53832cf901cb1e,814.211,,,,POWR,erc20,"{'value': '0x3087dfb8', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T05:02:47.000Z'}
10,0xfd2059,0x1635f2eaf850f6b1e26b49d9553fcbbc5f31ac1617afd88251cb5bf0f5d73185:log:75,0x1635f2eaf850f6b1e26b49d9553fcbbc5f31ac1617afd88251cb5bf0f5d73185,0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4,0x618ffd1cdabee36ce5992a857cc7463f21272bd7,27484.31,,,,POWR,erc20,"{'value': '0x06663149f0', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T04:43:47.000Z'}
11,0xfd201e,0x22fe527e05db8d327566e3867e45ad4b37f9f3813bc42ac763a5c367a13c6b7e:log:12,0x22fe527e05db8d327566e3867e45ad4b37f9f3813bc42ac763a5c367a13c6b7e,0x53748169dc9f48fa07fe2882e64b429f3009acd1,0x0c39481a763f0663f1d72d8f64bf2ee16455940d,119981.0,,,,POWR,erc20,"{'value': '0x1bef6cc540', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T04:31:59.000Z'}
12,0xfd201e,0xd4e88baec83e515d3b6fa1adae728761b3b800450679c6483f17e45d56acdce9:log:11,0xd4e88baec83e515d3b6fa1adae728761b3b800450679c6483f17e45d56acdce9,0x9629b5ef27da59020c79d1bd17d913621aa95c71,0x0c39481a763f0663f1d72d8f64bf2ee16455940d,499000.0,,,,POWR,erc20,"{'value': '0x742eb7be00', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T04:31:59.000Z'}
13,0xfd201c,0x55d6c4128bd471d09c5da7d7ac50e089f9438623df98d8cc067ce881ed2e1b7f:log:160,0x55d6c4128bd471d09c5da7d7ac50e089f9438623df98d8cc067ce881ed2e1b7f,0xe3792a9c235d434b702023b33f03c48c41631090,0x0c39481a763f0663f1d72d8f64bf2ee16455940d,1747107.653392,,,,POWR,erc20,"{'value': '0x0196c7bb2710', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T04:31:35.000Z'}
14,0xfd201c,0x0a816fbf5a9e397000648dd48e0714b9380402d30160b99fc835092298c7f70d:log:159,0x0a816fbf5a9e397000648dd48e0714b9380402d30160b99fc835092298c7f70d,0x568c3312ca93d2fe3a80262f942f288e532356ab,0x0c39481a763f0663f1d72d8f64bf2ee16455940d,73183.0,,,,POWR,erc20,"{'value': '0x110a0bf5c0', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T04:31:35.000Z'}
15,0xfd2005,0xefad214b24eafc155179379e63b3ac4332fce5d2ef43ca10d45bbca010494c78:log:139,0xefad214b24eafc155179379e63b3ac4332fce5d2ef43ca10d45bbca010494c78,0x28c6c06298d514db089934071355e5743bf21d60,0x568c3312ca93d2fe3a80262f942f288e532356ab,40417.0,,,,POWR,erc20,"{'value': '0x09690a7a40', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T04:26:59.000Z'}
16,0xfd1fe5,0x7fa09a0d4c784f17cf684dc251968c511f09b68aac9c83688dc1377944e2009c:log:188,0x7fa09a0d4c784f17cf684dc251968c511f09b68aac9c83688dc1377944e2009c,0x28c6c06298d514db089934071355e5743bf21d60,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1410767.604851,,,,POWR,erc20,"{'value': '0x0148784d4c73', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T04:20:35.000Z'}
17,0xfd1fe1,0x3c53cdd358a66edb631bbfffe0c9eea6a36e98e6578401c535df22293b0dfb4f:log:108,0x3c53cdd358a66edb631bbfffe0c9eea6a36e98e6578401c535df22293b0dfb4f,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xe3792a9c235d434b702023b33f03c48c41631090,870875.306851,,,,POWR,erc20,"{'value': '0xcac4369b63', 'address': '0x595832f8fc6bf59c85c527fec3740a1b7a361269', 'decimal': '0x6'}",{'blockTimestamp': '2023-02-09T04:19:47.000Z'}
