,blockNum,uniqueId,hash,from,to,value,erc721TokenId,erc1155Metadata,tokenId,asset,category,rawContract,metadata
0,0xfca1b3,0xdc865379deba9b2c2b375de5be12ba3c4b685d425c4f055fc73db65cd9b5045f:log:330,0xdc865379deba9b2c2b375de5be12ba3c4b685d425c4f055fc73db65cd9b5045f,0x54ff3435e0cf3fdd1b1ed6993f9193bbd18af14e,0xc59617f99c9d7119a5eee922fd350f41bdabe8e6,16044.61034421822,,,,XCN,erc20,"{'value': '0x0365c7b2a413dcdbbff8', 'address': '0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-04T16:00:11.000Z'}
1,0xfca186,0x9a2a7d20e703ff1133f38f296b735b6addf40979861ff0dc5225ebd6ab39c59a:log:0,0x9a2a7d20e703ff1133f38f296b735b6addf40979861ff0dc5225ebd6ab39c59a,0x99e3fb523d39221f3ba00b74258553b0db2a4aa1,0xc4643a1fc5b7ae2d6baf26f871e7046a383d3e93,887094.6276,,,,XCN,erc20,"{'value': '0xbbd97f01dd6dc8210000', 'address': '0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-04T15:51:11.000Z'}
2,0xfca183,0xe1adfbd9c0aa80fa57f7e2f3db6524e4c92b09c55f5b68c9b11a81e67fdafaf2:log:16,0xe1adfbd9c0aa80fa57f7e2f3db6524e4c92b09c55f5b68c9b11a81e67fdafaf2,0x83d48475a6e769b4767c3dd890b5b101bfaec207,0xc4643a1fc5b7ae2d6baf26f871e7046a383d3e93,84454.33251962,,,,XCN,erc20,"{'value': '0x11e2474e605d0ecaa800', 'address': '0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-04T15:50:35.000Z'}
3,0xfca183,0x6b6433099962542586b2ed2106fa22436b0389ba7858c5684d42ee8dd543d88b:log:15,0x6b6433099962542586b2ed2106fa22436b0389ba7858c5684d42ee8dd543d88b,0xafea11bc012ca5c5034c00a36a7bccc44b4bc6ed,0xc4643a1fc5b7ae2d6baf26f871e7046a383d3e93,319481.5945,,,,XCN,erc20,"{'value': '0x43a721c6e7b7933c4000', 'address': '0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-04T15:50:35.000Z'}
4,0xfca12a,0x39df13f535ec1e97b156ff7c46aa93c9658474cdf965fcd2f7d3dcb7a6bff645:log:183,0x39df13f535ec1e97b156ff7c46aa93c9658474cdf965fcd2f7d3dcb7a6bff645,0x3d8a489052fd169349f95222e657088b00d24787,0x62234ec2034a4268853cde7a95119d1981760d9e,4911.889999999999,,,,XCN,erc20,"{'value': '0x010a462acab101750000', 'address': '0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-04T15:32:47.000Z'}
5,0xfca10e,0xc71021d79c83990d11b3d883ac34e6599bf38b87267044975979ca5d5db52ab6:log:192,0xc71021d79c83990d11b3d883ac34e6599bf38b87267044975979ca5d5db52ab6,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0xdd04f596569b09bb967ab9f20cdc1b7bc7495afd,1056639.47804328,,,,XCN,erc20,"{'value': '0xdfc08a773479ba45a000', 'address': '0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-04T15:27:11.000Z'}
6,0xfca0f2,0xeb925c05a486d590e807ede8fdf65b378cd1f439a4dea7374fc3d18265ca725b:log:64,0xeb925c05a486d590e807ede8fdf65b378cd1f439a4dea7374fc3d18265ca725b,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xafea11bc012ca5c5034c00a36a7bccc44b4bc6ed,319481.5945,,,,XCN,erc20,"{'value': '0x43a721c6e7b7933c4000', 'address': '0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-04T15:21:23.000Z'}
7,0xfca0f1,0x547948eb5dbce99c98b76d380cfce8a84f3d8b2289e9731853767da221993358:log:501,0x547948eb5dbce99c98b76d380cfce8a84f3d8b2289e9731853767da221993358,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0xac47489b2324b6f02992ac541c9f941d14280cbb,1470892.9290432802,,,,XCN,erc20,"{'value': '0x01377943f51020788d2000', 'address': '0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-04T15:21:11.000Z'}
8,0xfca0e7,0xbbc6da6ab942e3f328de02ab18e3837cea280c0623d2f057a0f0c2d87fbd3d33:log:45,0xbbc6da6ab942e3f328de02ab18e3837cea280c0623d2f057a0f0c2d87fbd3d33,0x30741289523c2e4d2a62c7d6722686d14e723851,0x83d48475a6e769b4767c3dd890b5b101bfaec207,84454.33251962,,,,XCN,erc20,"{'value': '0x11e2474e605d0ecaa800', 'address': '0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-04T15:19:11.000Z'}
9,0xfca0e3,0x1d97c1922906d033753463072fc7870ff09100effa783c08b4e09f82b23d147f:log:34,0x1d97c1922906d033753463072fc7870ff09100effa783c08b4e09f82b23d147f,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x99e3fb523d39221f3ba00b74258553b0db2a4aa1,887094.6276,,,,XCN,erc20,"{'value': '0xbbd97f01dd6dc8210000', 'address': '0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18', 'decimal': '0x12'}",{'blockTimestamp': '2023-02-04T15:18:23.000Z'}
